
Checking address: 0xdfc24b077bc1425ad1dea75bcb6f8158e10df303
  Found 0 positions.

Checking address: 0x010461c14e146ac35fe42271bdc1134ee31c703a
  Found 189 positions.
    - Coin: APE, Size: -87453.5, Entry: 0.1491, PnL: 74.611296
    - Coin: OP, Size: 53983.7, Entry: 0.23067, PnL: -26.242156
    - Coin: LTC, Size: -3238.61, Entry: 58.9519, PnL: -4242.833425
    - Coin: ARB, Size: -97906.8, Entry: 0.1367, PnL: -115.608159
    - Coin: DOGE, Size: -1665784.0, Entry: 0.105283, PnL: -5224.558909
    - Coin: INJ, Size: -40179.5, Entry: 3.63295, PnL: -2127.141506
    - Coin: SUI, Size: -201984.9, Entry: 1.12608, PnL: -4507.863042
    - Coin: kPEPE, Size: -27561833.0, Entry: 0.004291, PnL: 671.521288
    - Coin: CRV, Size: 375237.6, Entry: 0.28405, PnL: 1345.118797
    - Coin: LDO, Size: 165215.2, Entry: 0.41813, PnL: 993.521423
    - Coin: LINK, Size: -2096.8, Entry: 9.92991, PnL: 101.5173
    - Coin: STX, Size: -647979.0, Entry: 0.27499, PnL: -9578.358904
    - Coin: CFX, Size: -379520.0, Entry: 0.055499, PnL: -210.424476
    - Coin: GMX, Size: 8476.9, Entry: 6.3079, PnL: 1150.158932
    - Coin: SNX, Size: -100119.2, Entry: 0.34433, PnL: -940.660578
    - Coin: XRP, Size: -131803.0, Entry: 1.628065, PnL: -1770.650005
    - Coin: BCH, Size: -109.894, Entry: 527.796, PnL: -1054.247866
    - Coin: APT, Size: 13128.47, Entry: 1.2859, PnL: -62.415857
    - Coin: AAVE, Size: 426.6, Entry: 128.5784, PnL: -54.792081
    - Coin: COMP, Size: -3438.15, Entry: 20.9373, PnL: 3057.715005
    - Coin: WLD, Size: -251319.5, Entry: 0.40075, PnL: -446.778325
    - Coin: YGG, Size: 383427.0, Entry: 0.046132, PnL: 86.147623
    - Coin: TRX, Size: -264785.0, Entry: 0.283539, PnL: -76.992962
    - Coin: kSHIB, Size: 20399042.0, Entry: 0.006781, PnL: 2230.545043
    - Coin: UNI, Size: -6939.5, Entry: 3.93025, PnL: -55.166074
    - Coin: SEI, Size: -504190.0, Entry: 0.086589, PnL: -1237.528775
    - Coin: RUNE, Size: 185496.5, Entry: 0.48891, PnL: -3139.881266
    - Coin: ZRO, Size: 24535.2, Entry: 1.82446, PnL: -403.978242
    - Coin: DOT, Size: -91211.5, Entry: 1.5478, PnL: -656.204827
    - Coin: BANANA, Size: 1334.6, Entry: 5.03866, PnL: 108.544447
    - Coin: TRB, Size: 256.09, Entry: 16.1013, PnL: 21.174708
    - Coin: FTT, Size: -31161.6, Entry: 0.39918, PnL: 980.446357
    - Coin: ARK, Size: 24274.0, Entry: 0.216262, PnL: 22.999907
    - Coin: BIGTIME, Size: 89997.0, Entry: 0.01783, PnL: -7.200107
    - Coin: KAS, Size: -1371710.0, Entry: 0.033344, PnL: -152.281383
    - Coin: BLUR, Size: 2120771.0, Entry: 0.024232, PnL: -2944.951443
    - Coin: TIA, Size: -100669.0, Entry: 0.37019, PnL: -559.375512
    - Coin: BSV, Size: 7875.04, Entry: 16.9071, PnL: -9899.932614
    - Coin: ADA, Size: -797985.0, Entry: 0.295586, PnL: -3641.988799
    - Coin: TON, Size: 69255.2, Entry: 1.3475, PnL: 1488.729884
    - Coin: MINA, Size: -367055.0, Entry: 0.071212, PnL: -525.490145
    - Coin: POLYX, Size: 1005882.0, Entry: 0.048851, PnL: -34.94245
    - Coin: GAS, Size: -36693.3, Entry: 1.86207, PnL: -466.973468
    - Coin: PENDLE, Size: 105264.0, Entry: 1.586922, PnL: 1060.764026
    - Coin: FET, Size: -502876.0, Entry: 0.186606, PnL: 662.283944
    - Coin: NEAR, Size: 93004.0, Entry: 1.19504, PnL: 2413.839489
    - Coin: MEME, Size: 82864474.0, Entry: 0.000885, PnL: -3920.715198
    - Coin: ORDI, Size: -3138.91, Entry: 3.0957, PnL: -32.033286
    - Coin: NEO, Size: -3803.24, Entry: 3.1971, PnL: -348.792208
    - Coin: ZEN, Size: 4918.83, Entry: 7.0843, PnL: -266.559817
    - Coin: FIL, Size: -139593.8, Entry: 1.12963, PnL: 7612.944619
    - Coin: PYTH, Size: -3615056.0, Entry: 0.056305, PnL: 15569.648102
    - Coin: SUSHI, Size: 136985.2, Entry: 0.23933, PnL: 615.251891
    - Coin: IMX, Size: -575423.6, Entry: 0.19052, PnL: 2085.777096
    - Coin: kBONK, Size: 7105270.0, Entry: 0.007129, PnL: 599.051159
    - Coin: GMT, Size: -4031749.0, Entry: 0.014585, PnL: 1900.20884
    - Coin: SUPER, Size: -575415.0, Entry: 0.159899, PnL: 4908.112789
    - Coin: USTC, Size: 4357851.0, Entry: 0.005628, PnL: -150.130493
    - Coin: JUP, Size: 1000684.0, Entry: 0.187409, PnL: 4043.295292
    - Coin: kLUNC, Size: 88044.0, Entry: 0.037467, PnL: -45.550569
    - Coin: RSR, Size: 22126142.0, Entry: 0.002132, PnL: -4593.095898
    - Coin: GALA, Size: 3023987.0, Entry: 0.004806, PnL: 75.785135
    - Coin: JTO, Size: -272086.0, Entry: 0.294177, PnL: -944.954178
    - Coin: ACE, Size: 149359.69, Entry: 0.2062, PnL: -187.45649
    - Coin: MAV, Size: -36753.0, Entry: 0.020298, PnL: -10.627545
    - Coin: WIF, Size: -679374.0, Entry: 0.25386, PnL: -3193.05029
    - Coin: CAKE, Size: -110682.6, Entry: 1.61979, PnL: 4879.99754
    - Coin: PEOPLE, Size: 3675584.0, Entry: 0.007811, PnL: -263.152128
    - Coin: ENS, Size: 8397.73, Entry: 7.008, PnL: -207.30087
    - Coin: ETC, Size: 2384.86, Entry: 9.6973, PnL: 279.473055
    - Coin: XAI, Size: -4771023.4000000004, Entry: 0.01395, PnL: 9465.352263
    - Coin: MANTA, Size: 92368.6, Entry: 0.0735, PnL: 42.439103
    - Coin: UMA, Size: -124066.3, Entry: 0.62112, PnL: 6031.323596
    - Coin: ONDO, Size: -264264.0, Entry: 0.282171, PnL: -393.353339
    - Coin: ALT, Size: -7653142.0, Entry: 0.010077, PnL: 3394.728649
    - Coin: ZETA, Size: 581396.1, Entry: 0.06122, PnL: 220.424366
    - Coin: DYM, Size: -1057392.7, Entry: 0.04958, PnL: 2602.603625
    - Coin: MAVIA, Size: -469728.5, Entry: 0.04544, PnL: -373.688194
    - Coin: W, Size: -1030205.8, Entry: 0.02321, PnL: -668.399141
    - Coin: STRK, Size: 643625.8, Entry: 0.05571, PnL: 797.295444
    - Coin: TAO, Size: -147.206, Entry: 199.882, PnL: -130.624309
    - Coin: AR, Size: 40159.3, Entry: 2.523, PnL: -22.401019
    - Coin: kFLOKI, Size: -1329057.0, Entry: 0.034536, PnL: -1519.733065
    - Coin: BOME, Size: 56985970.0, Entry: 0.000511, PnL: -1639.06203
    - Coin: ETHFI, Size: 106926.4, Entry: 0.4948, PnL: 197.387888
    - Coin: ENA, Size: 93905.0, Entry: 0.141963, PnL: -122.446597
    - Coin: MNT, Size: -116091.4, Entry: 0.71509, PnL: -3367.76429
    - Coin: TNSR, Size: 159839.0, Entry: 0.23316, PnL: -29423.102375
    - Coin: SAGA, Size: 2472806.8999999999, Entry: 0.03731, PnL: -2750.825537
    - Coin: MERL, Size: -1154435.0, Entry: 0.048866, PnL: -841.576538
